care_center,treat,child,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20
A,treat,37,8,8,7,6,8,9,9,12,13,13,15,13,14,16,14,15,16,13,15,17
B,treat,35,6,7,3,5,2,11,14,9,16,12,10,14,14,16,12,17,14,10,14,15
C,treat,35,8,9,8,9,3,5,15,18,16,14,20,18,25,22,27,19,20,23,23,22
D,treat,34,10,3,14,9,6,24,8,22,22,19,25,18,23,22,24,17,15,23,25,18
E,treat,33,13,12,9,13,15,10,27,28,35,10,24,32,29,29,26,31,26,35,29,28
F,treat,28,5,8,7,5,5,9,12,14,19,17,14,13,10,15,14,16,6,12,17,13
G,control,35,7,10,12,6,4,13,7,8,5,12,3,5,6,13,7,4,7,10,4,6
H,control,34,12,9,14,18,10,11,6,15,14,13,7,12,9,9,17,8,5,11,8,13
I,control,34,3,4,9,3,3,5,9,5,2,7,6,6,9,4,9,2,3,8,3,5
J,control,32,15,13,13,12,10,9,15,15,15,10,17,12,13,11,14,17,12,9,15,13
